category,avgView,avgLike
Music,2.128122017E7,123807.09
Trailers,5371694.46,33900.36
Shows,2839939.9,21364.55
People & Blogs,2606026.0,43622.25
Movies,2107083.76,10938.54
Family,1876078.39,11225.53
Shorts,1550581.79,7631.23
Horror,1328474.22,11631.79
Drama,1191135.77,7182.35
Comedy,1173013.12,4705.1
Pets & Animals,1139220.24,5043.1
Film & Animation,1136810.21,4546.07
Howto & Style,896974.94,8615.74
Short Movies,886095.15,5469.14
Foreign,818044.89,5239.51
Autos & Vehicles,797515.03,2951.46
Thriller,735461.14,3262.85
Anime/Animation,538621.56,6759.57
Education,529255.69,2569.34
Gaming,440925.37,6416.35
Sports,411480.2,2988.38
Classics,393182.13,3001.66
Travel & Events,333939.11,3648.24
Documentary,312595.69,2257.35
Entertainment,277769.01,1725.88
Science & Technology,79017.02,508.84
Sci-Fi/Fantasy,77029.24,441.66
Action/Adventure,67074.76,218.04
News & Politics,58055.23,547.2
Nonprofits & Activis,18773.82,476.26
Videoblogging,10137.34,105.28
