category,sum(viewCount),sum(likeCount),sum(dislikeCount),sum(favoriteCount)
Shows,3930144174,23162223,1616128,0
Education,907258991,4483532,429186,0
Thriller,1017172402,4137408,303237,0
Gaming,554541865,6534127,291453,0
Entertainment,501137481,3783794,190478,0
Videoblogging,14525343,125865,10321,0
Travel & Events,324062420,3291722,267750,0
Science & Technology,117735562,746447,93425,0
Foreign,490525072,4480925,235081,0
Sports,653830808,3172390,223813,0
Drama,2097687400,10778278,894796,0
Documentary,402571219,2728898,347914,0
Howto & Style,755364078,6382507,521220,0
Anime/Animation,846780803,9797790,382788,0
Film & Animation,1734305698,5952644,1240534,0
Sci-Fi/Fantasy,101919481,582548,61661,0
Family,2416916581,9386214,1093331,0
People & Blogs,2030319715,26605154,1219688,0
News & Politics,103445179,990169,67246,0
Pets & Animals,1611695748,6503481,658165,0
Movies,1570897352,7210771,633068,0
Autos & Vehicles,831009295,2053066,522681,0
Classics,816406337,5606370,283712,0
Action/Adventure,93731857,346902,41021,0
Music,29164216546,154899032,10662111,0
Short Movies,978975164,5506883,444670,0
Nonprofits & Activis,12899203,313825,16644,0
Horror,2607131557,21043800,743649,0
Shorts,1843493053,9821823,801846,0
Comedy,1253110542,4482132,484175,0
Trailers,8493320674,51102128,3150763,0
